feedback_id,source,source_url,author,feedback_date,raw_text,initial_category,channel,status
72c038dc61af,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/recebimento-parcial-de-pedido-falta-de-mala-e-dificuldade-de-contato-com-a-gocase_RZ-KoKjFfifocz5w/,Consumidor RA,2026-04-22,"Recebimento Parcial de Pedido - Falta de Mala e Dificuldade de Contato com a Gocase Fiz uma compra na gocase e recebí o pedido parcial, não consigo falar com vendedor todas as mensagens são automáticas, já fui na transportadora e eles falaram que receberam o pedido assim, o número do pedido é um só porém em duas caixas, no entanto só recebí uma caixa, faltando uma mala.",reclamacao,complaint_site_auto,nao resolvida
df9c2e2ddfec,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/esta-vazando-muito_7lhq_PbGBRknhHhE/,Consumidor RA,2026-04-22,"Está vazando muito Fiz uma conta de um copo térmico life em novembro de 2025, aparentemente estava tudo ok, mas sempre que deixa o copo no carro, a água retornava por cima e molhava tudo, parei de deixar mas continua vazando água em qualquer lugar, inclusive se eu virar, ela vaza pelo bico do canudo. Também está com umas manchas de molhada na garrafa, como se tivesse vazado pelo parte interna da garrafa. Não foi barata pra já está com defeito, gostaria de uma solução. Ela tá soltando os desenhos sozinho!",reclamacao,complaint_site_auto,nao resolvida
4c736d4d9e4f,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/recusa-de-devolucao-de-capinhas-de-celular-sob-alegacao-de-personalizacao-indevida_JVcRKIVDlk_nt6oS/,Consumidor RA,2026-04-22,"Recusa de devolução de capinhas de celular sob alegação de personalização indevida Realizei a compra de 2 capinhas online junto à empresa Gocase e solicitei a devolução dentro do prazo legal de 7 dias previsto no art. 49 do Código de Defesa do Consumidor (direito de arrependimento), tendo em vista que os produtos não se ajustaram corretamente ao modelo do meu celular. A empresa recusou a solicitação sob a alegação de que se trata de produto personalizado. No entanto, tal justificativa não procede, uma vez que o item adquirido não possui qualquer personalização individualizada (como nome, foto ou arte exclusiva enviada por mim), tratando-se apenas de um produto padronizado, com escolha de modelo e tipo, conforme disponibilizado no próprio site da empresa. Dessa forma, não há impedimento para sua revenda, não se aplicando a restrição alegada pela empresa. Informo ainda que já foi aberto protocolo diretamente com a empresa, o qual foi negado. Diante do exposto, solicito o cancelamento da compra, com a devolução integral dos valores pagos, incluindo frete, conforme determina a legislação vigente. Número do protocolo: *****",reclamacao,complaint_site_auto,nao resolvida
58458ce568b1,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/gocase-descaso-com-o-cliente_NhbHkEXefmhziT3d/,Consumidor RA,2026-04-22,"Gocase: Descaso com o cliente. Na Sexta feira dia 17/4 fiz a compra de uma capinha para o meu celular, nesse dia mesmo eu já havia recebido uma mensagem falando sobre um brinde. Eu já ia comprar de qualquer maneira, mas me interessei bastante pelo brinde tb. Fiz a compra, passei o cartão, e quando coloquei o Cupom do brinde, esse disse ter expirado, na minha mensagem havia outro cupom, coloquei e apareceram dois brindes, conforme print anexado. Terminei a compra, e quando fui conferir, não havia sido colocado os brindes, estava constando apenas a capinha, tentei voltar a página, colocar o cupom novamente e eles apareciam, porém não eram adicionados no final da compra. Liguei para o Sac (protocolo #*****) conversei com a Aurilene, passei o número do pedido, ela olhou no sistema e não constavam os brindes, pediu que eu enviasse um print da tela onde constavam os brindes, mandei, ela verificou e me disse que havia expirado a promoção, argumentei que não poderia ter sido expirado se ainda aparecia para mim como válido, ela disse que eu não havia inserido o cupom, falei que sim, eu havia inserido e mandei outro print da tela, ela voltou com a seguinte resposta: que deveria ter havido uma FALHA NO SISTEMA, e não validou por isso. Comentei que isso não era justo, pois se fosse isso realmente, eu fiz minha parte, se o sistema errou, eu deveria ter o que constava na página, ela me disse que não, que a empresa é muito RIGOROSA com relação aos brindes e promoções e que a tecnologia às vezes NOS PREGAM PEÇAS! Insisti e ela me mandou um recado pré feito dizendo que nas minhas ""PRÓXIMAS COMPRINHAS"" eu poderia usar um cupom X para ter descontos. Isso tudo eu sendo cliente há muito tempo, ja tendo comprado muitas capinhas lá etc. Achei todo procedimento um descaso com o cliente, que obviamente eles poderiam ter resolvido de outra forma.",reclamacao,complaint_site_auto,nao resolvida
f08ee261ca99,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/ma-qualidade_YP28Q2GVW_RirQht/,Consumidor RA,2026-04-22,"Ma qualidade Para abrir um protocolo p ir p a perícia a bolsa é uma burocracia imensa, comprei meu produto pro cpf, mas na encontram no sistema. Difícil viu, não recomendo p ninguém. Realizei a compra da minha bolsa tot no mês de 05/2025, na tem nem um ano a bolsa e já rasgou :( Gostaria de uma ajuda em relação a isso, pois é a bolsa q uso p trabalhar",reclamacao,complaint_site_auto,nao resolvida
d77945b0e341,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/produto-danificado-e-solicitacao-de-reembolso-apos-recebimento_xkuzF56Q7Fn5feMn/,Consumidor RA,2026-04-22,"Produto danificado e solicitação de reembolso após recebimento Fiz uma compra com essa empresa, recebi a mercadoria dia 20/04 e ao abrir, percebi que o produto veio danificado . Quero meu reembolso. Pela lei artigo 49 posso desistir da compra então quero meu caso solucionado",reclamacao,complaint_site_auto,nao resolvida
1a6bee76ce8b,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/bolsa-moove-com-defeito-de-fabricacao-descolamento-e-alca-prestes-a-rasgar__Q0zmSLRGTHilLi7/,Consumidor RA,2026-04-22,Bolsa Moove com defeito de fabricação: descolamento e alça prestes a rasgar. Fiz uma compra no dia 29/01 de uma bolsa moove e ela já está descolando a personalização e a alça está preste a rasgar. Ela nunca foi lavada em máquina sempre na mão e uso o peso conforme orientação do fabricante. E foi um produto que criei grandes expectativas e gostaria de um retorno da loja .,reclamacao,complaint_site_auto,nao resolvida
a07bc9c79ebe,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/bolsa-tote-puffer-descosturou-bolsos-internos-com-menos-de-1-ano-de-uso-descumprindo-expectativa-de-qualidade-da-marca_AXD9PaZ_6sNb9bgF/,Consumidor RA,2026-04-22,"Bolsa tote puffer descosturou bolsos internos com menos de 1 ano de uso, descumprindo expectativa de qualidade da marca. Sou cliente da marca desde abril do ano passado pós acreditava ser produtos de boa qualidade inclusive tendo indicado para amigas e comprado presentes para meus familiares da marca. Entretanto meu primeiro produto comprado há um ano, uma bolsa tote puffer, descosturou três bolsos internos, sendo que em um deles carrego apenas meu tablet que que não tem nada como chaves ou canetas que poderiam enganchar na costura e justificar o dano. Entrei em contato para ver a respeito da garantia e vi que são só 90 dias contra defeito de fabricação. Me senti muito prejudicada pois a bolsa que eu acreditava ser de excelente qualidade apresentou danos com menos de 1 ano de uso, mais cedo do que bolsas inferiores minhas. Fiquei muito decepcionada e vou pensar duas vezes agora antes de indicar a marca ou comprar lá novamente.",reclamacao,complaint_site_auto,nao resolvida
a45704daef8b,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/bolsa-gocase-apresenta-defeito-recorrente-na-alca-mesmo-apos-troca-do-produto-e-cliente-solicita-reembolso-ou-substituicao_yI2qVuiHy85SL3jE/,Consumidor RA,2026-04-22,"Bolsa Gocase apresenta defeito recorrente na alça, mesmo após troca do produto, e cliente solicita reembolso ou substituição. Comprei uma bolsa da Gocase em agosto de 2025 (modelo: Bolsa Joy Pro - Manuscrita, pedido n *****) e, já no primeiro dia de uso, a alça quebrou. Entrei em contato com a empresa e, na ocasião, foi realizada a troca do produto, sob o protocolo n *****. No entanto, após aproximadamente 5 meses de uso da nova bolsa, uma das alças voltou a quebrar. Para minha surpresa e indignação, hoje a outra alça também quebrou, tornando o produto completamente inutilizável. Ressalto que o uso da bolsa sempre foi normal, sem excesso de peso ou mau uso, o que torna a situação ainda mais preocupante quanto à qualidade e durabilidade do produto. É inaceitável que um item apresente o mesmo defeito recorrente, inclusive após troca, evidenciando claramente um vício de qualidade. Diante disso, solicito uma solução definitiva, podendo ser: * Reembolso do valor pago; ou * Substituição por um produto de qualidade comprovadamente superior. Caso não haja resolução, irei buscar meus direitos junto aos órgãos de defesa do consumidor. Aguardo retorno com urgência.",reclamacao,complaint_site_auto,nao resolvida
7f813475645c,reclameaqui_auto,https://www.reclameaqui.com.br/go-case/garrafa-termica-go-case-com-vazamento-apos-2-meses-de-uso-e-negativa-de-troca_s0Hhe3YTW63-7Do9/,Consumidor RA,2026-04-22,"Garrafa Térmica Go Case com Vazamento Após 2 Meses de Uso e Negativa de Troca Comprei uma garrafa térmica Go case e com 2 meses de uso começou a vazar muito. Abri suporte para troca, já que tem garantia, mas falaram que esse vazamento é decorrente de uso. Lamentável para uma garrafa com tantas referências por durabilidade estar agora proporcionado este tipo de experiência aos clientes e ainda negando troca. Nao recomendo a Gocase.",reclamacao,complaint_site_auto,nao resolvida
